model,id,MC1,MN1,MN2,point_id,run_key,runtime_s,returncode,xsec_pb,xsec_err_pb,order,xsec_NNLO_NNLL_pb,xsec_NNLO_NNLL_err_pb,status,log
higgsino_N2C1plus_13p6,mc1_125_mn1_124p25_mn2_125p75,125,124.25,125.75,mc1_125_mn1_124p25_mn2_125p75,higgsino_N2C1plus_13p6::mc1_125_mn1_124p25_mn2_125p75,21.15,0,1.6899064,0.0012758795,NNLO+NNLL,1.6899064,0.0012758795,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_124p25_mn2_125p75/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_124_mn2_126,125,124,126,mc1_125_mn1_124_mn2_126,higgsino_N2C1plus_13p6::mc1_125_mn1_124_mn2_126,21.28,0,1.6839219,0.0012710296,NNLO+NNLL,1.6839219,0.0012710296,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_124_mn2_126/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_123p5_mn2_126p5,125,123.5,126.5,mc1_125_mn1_123p5_mn2_126p5,higgsino_N2C1plus_13p6::mc1_125_mn1_123p5_mn2_126p5,21.07,0,1.672191,0.0012631898,NNLO+NNLL,1.672191,0.0012631898,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_123p5_mn2_126p5/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_122p5_mn2_127p5,125,122.5,127.5,mc1_125_mn1_122p5_mn2_127p5,higgsino_N2C1plus_13p6::mc1_125_mn1_122p5_mn2_127p5,21.09,0,1.648723,0.0012431959,NNLO+NNLL,1.648723,0.0012431959,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_122p5_mn2_127p5/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_122_mn2_128,125,122,128,mc1_125_mn1_122_mn2_128,higgsino_N2C1plus_13p6::mc1_125_mn1_122_mn2_128,21.07,0,1.6372026,0.0012339435,NNLO+NNLL,1.6372026,0.0012339435,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_122_mn2_128/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_121p25_mn2_128p75,125,121.25,128.75,mc1_125_mn1_121p25_mn2_128p75,higgsino_N2C1plus_13p6::mc1_125_mn1_121p25_mn2_128p75,20.89,0,1.6200336,0.0012270281,NNLO+NNLL,1.6200336,0.0012270281,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_121p25_mn2_128p75/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_120_mn2_130,125,120,130,mc1_125_mn1_120_mn2_130,higgsino_N2C1plus_13p6::mc1_125_mn1_120_mn2_130,20.97,0,1.5919526,0.0012019528,NNLO+NNLL,1.5919526,0.0012019528,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_120_mn2_130/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_117p5_mn2_132p5,125,117.5,132.5,mc1_125_mn1_117p5_mn2_132p5,higgsino_N2C1plus_13p6::mc1_125_mn1_117p5_mn2_132p5,21.58,0,1.537492,0.0011568459,NNLO+NNLL,1.537492,0.0011568459,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_117p5_mn2_132p5/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_115_mn2_135,125,115,135,mc1_125_mn1_115_mn2_135,higgsino_N2C1plus_13p6::mc1_125_mn1_115_mn2_135,21.73,0,1.4852547,0.0011134711,NNLO+NNLL,1.4852547,0.0011134711,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_115_mn2_135/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_112p5_mn2_137p5,125,112.5,137.5,mc1_125_mn1_112p5_mn2_137p5,higgsino_N2C1plus_13p6::mc1_125_mn1_112p5_mn2_137p5,21.48,0,1.4348679,0.0010723643,NNLO+NNLL,1.4348679,0.0010723643,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_112p5_mn2_137p5/resummino.log
