184,0.285156,256,73,183
185,0.29078,282,82,200
186,0.33829,269,91,178
356,0.281022,274,77,197
187,0.351648,273,96,177
19,0.311594,276,86,190
219,0.310606,264,82,182
188,0.282609,276,78,198
22,0.29562,274,81,193
220,0.344961,258,89,169
221,0.312741,259,81,178
291,0.301818,275,83,192
222,0.299625,267,80,187
223,0.296703,273,81,192
357,0.286713,286,82,204
110,0.276364,275,76,199
224,0.315789,266,84,182
225,0.301961,255,77,178
226,0.260377,265,69,196
190,0.272727,253,69,184
227,0.247273,275,68,207
228,0.275986,279,77,202
229,0.273764,263,72,191
108,0.256318,277,71,206
23,0.296296,270,80,190
203,0.324723,271,88,183
230,0.246377,276,68,208
231,0.358423,279,100,179
232,0.274648,284,78,206
111,0.285714,266,76,190
233,0.318996,279,89,190
234,0.314685,286,90,196
191,0.266436,289,77,212
235,0.248201,278,69,209
236,0.306202,258,79,179
292,0.245353,269,66,203
358,0.293103,290,85,205
237,0.305755,278,85,193
238,0.330909,275,91,184
239,0.284746,295,84,211
24,0.298182,275,82,193
240,0.317343,271,86,185
241,0.299652,287,86,201
112,0.326599,297,97,200
242,0.276753,271,75,196
192,0.333333,285,95,190
243,0.251748,286,72,214
201,0.294821,251,74,177
359,0.302721,294,89,205
293,0.259928,277,72,205
244,0.278388,273,76,197
245,0.291815,281,82,199
246,0.288889,270,78,192
247,0.327526,287,94,193
248,0.321033,271,87,184
249,0.289575,259,75,184
25,0.333333,267,89,178
250,0.280156,257,72,185
113,0.288973,263,76,187
124,0.25,276,69,207
193,0.286275,255,73,182
294,0.312253,253,79,174
251,0.267176,262,70,192
252,0.261818,275,72,203
253,0.279245,265,74,191
254,0.290196,255,74,181
255,0.299625,267,80,187
256,0.294776,268,79,189
257,0.310219,274,85,189
258,0.275591,254,70,184
36,0.314879,289,91,198
259,0.258182,275,71,204
26,0.324627,268,87,181
295,0.303371,267,81,186
194,0.261484,283,74,209
114,0.287234,282,81,201
260,0.265233,279,74,205
261,0.286765,272,78,194
262,0.289199,287,83,204
263,0.292308,260,76,184
264,0.363014,292,106,186
360,0.279352,247,69,178
265,0.291971,274,80,194
266,0.316547,278,88,190
267,0.270677,266,72,194
115,0.310204,245,76,169
296,0.267176,262,70,192
268,0.345455,275,95,180
118,0.291513,271,79,192
297,0.328063,253,83,170
298,0.28839,267,77,190
299,0.355469,256,91,165
196,0.275,280,77,203
3,0.25498,251,64,187
198,0.279851,268,75,193
30,0.275618,283,78,205
300,0.332046,259,86,173
301,0.312057,282,88,194
27,0.306273,271,83,188
302,0.328358,268,88,180
303,0.28777,278,80,198
304,0.307692,286,88,198
119,0.32197,264,85,179
361,0.210317,252,53,199
305,0.293233,266,78,188
306,0.327465,284,93,191
307,0.281746,252,71,181
199,0.311284,257,80,177
308,0.306273,271,83,188
309,0.313208,265,83,182
270,0.284091,264,75,189
31,0.262774,274,72,202
310,0.270175,285,77,208
311,0.279245,265,74,191
362,0.288462,260,75,185
312,0.237589,282,67,215
313,0.310606,264,82,182
12,0.30038,263,79,184
314,0.307692,286,88,198
315,0.333333,252,84,168
2,0.333333,267,89,178
316,0.30855,269,83,186
271,0.318182,264,84,180
317,0.32872,289,95,194
318,0.304511,266,81,185
363,0.291829,257,75,182
319,0.296296,270,80,190
32,0.290076,262,76,186
320,0.280702,285,80,205
321,0.263566,258,68,190
322,0.275472,265,73,192
120,0.266423,274,73,201
323,0.296578,263,78,185
20,0.269784,278,75,203
272,0.280899,267,75,192
324,0.260714,280,73,207
364,0.312268,269,84,185
325,0.266667,285,76,209
326,0.362963,270,98,172
327,0.27957,279,78,201
328,0.285185,270,77,193
329,0.273408,267,73,194
33,0.327645,293,96,197
330,0.265018,283,75,208
331,0.289575,259,75,184
121,0.283019,265,75,190
273,0.313433,268,84,184
365,0.360595,269,97,172
200,0.324324,296,96,200
332,0.265873,252,67,185
333,0.271429,280,76,204
334,0.300752,266,80,186
335,0.332192,292,97,195
336,0.319149,282,90,192
337,0.341549,284,97,187
338,0.291815,281,82,199
